Babia_G%C3%B3ra-Babia_Hora	http://www.georss.org/georss/point	49.1666666667 20.1333333333	l
Babia_G%C3%B3ra-Babia_Hora	http://www.w3.org/2003/01/geo/wgs84_pos#lat	49.1666666667	l
Babia_G%C3%B3ra-Babia_Hora	http://www.w3.org/2003/01/geo/wgs84_pos#long	20.1333333333	l
Bar_Harbor_%28town%29%2C_Maine	http://www.georss.org/georss/point	44.3833333333 -68.2	l
Bar_Harbor_%28town%29%2C_Maine	http://www.w3.org/2003/01/geo/wgs84_pos#lat	44.3833333333	l
Bar_Harbor_%28town%29%2C_Maine	http://www.w3.org/2003/01/geo/wgs84_pos#long	-68.2	l
Bar_Harbor_%28town%29%2C_Maine	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Bar_Harbor_%28town%29%2C_Maine	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
Bedford_%28town%29%2C_New_York	http://www.georss.org/georss/point	41.2 -73.65	l
Bedford_%28town%29%2C_New_York	http://www.w3.org/2003/01/geo/wgs84_pos#lat	41.2	l
Bedford_%28town%29%2C_New_York	http://www.w3.org/2003/01/geo/wgs84_pos#long	-73.65	l
Bedford_%28town%29%2C_New_York	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Bedford_%28town%29%2C_New_York	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
Business_Park_Sofia	http://www.georss.org/georss/point	42.6263888889 23.3758333333	l
Business_Park_Sofia	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.6263888889	l
Business_Park_Sofia	http://www.w3.org/2003/01/geo/wgs84_pos#long	23.3758333333	l
Business_Park_Sofia	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/Landmark108624891	r
Bolhrad	http://www.georss.org/georss/point	45.6666666667 28.6	l
Bolhrad	http://www.w3.org/2003/01/geo/wgs84_pos#lat	45.6666666667	l
Bolhrad	http://www.w3.org/2003/01/geo/wgs84_pos#long	28.6	l
Bolhrad	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Bolhrad	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
Buzhgan	http://www.georss.org/georss/point	35.1666666667 60.7333333333	l
Buzhgan	http://www.w3.org/2003/01/geo/wgs84_pos#lat	35.1666666667	l
Buzhgan	http://www.w3.org/2003/01/geo/wgs84_pos#long	60.7333333333	l
Buzhgan	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Buzhgan	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
Donji_Kraljevec	http://www.georss.org/georss/point	46.3666666667 16.65	l
Donji_Kraljevec	http://www.w3.org/2003/01/geo/wgs84_pos#lat	46.3666666667	l
Donji_Kraljevec	http://www.w3.org/2003/01/geo/wgs84_pos#long	16.65	l
Donji_Kraljevec	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Donji_Kraljevec	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
East_Troy_%28town%29%2C_Wisconsin	http://www.georss.org/georss/point	42.7866666667 -88.4033333333	l
East_Troy_%28town%29%2C_Wisconsin	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.7866666667	l
East_Troy_%28town%29%2C_Wisconsin	http://www.w3.org/2003/01/geo/wgs84_pos#long	-88.4033333333	l
Lavov_Most	http://www.georss.org/georss/point	42.7047222222 23.3238888889	l
Lavov_Most	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.7047222222	l
Lavov_Most	http://www.w3.org/2003/01/geo/wgs84_pos#long	23.3238888889	l
Lavov_Most	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/Landmark108624891	r
Battenberg_Mausoleum	http://www.georss.org/georss/point	42.6913888889 23.3325	l
Battenberg_Mausoleum	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.6913888889	l
Battenberg_Mausoleum	http://www.w3.org/2003/01/geo/wgs84_pos#long	23.3325	l
Battenberg_Mausoleum	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/Landmark108624891	r
Mall_of_Sofia	http://www.georss.org/georss/point	42.6980555556 23.3086111111	l
Mall_of_Sofia	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.6980555556	l
Mall_of_Sofia	http://www.w3.org/2003/01/geo/wgs84_pos#long	23.3086111111	l
Mall_of_Sofia	http://www.w3.org/1999/02/22-rdf-syntax-ns#type	http://dbpedia.org/class/yago/Landmark108624891	r
Mooresburg%2C_Pennsylvania	http://www.georss.org/georss/point	40.9833333333 -76.7	l
Mooresburg%2C_Pennsylvania	http://www.w3.org/2003/01/geo/wgs84_pos#lat	40.9833333333	l
Mooresburg%2C_Pennsylvania	http://www.w3.org/2003/01/geo/wgs84_pos#long	-76.7	l
Mooresburg%2C_Pennsylvania	http://www.geonames.org/ontology#featureClass	http://www.geonames.org/ontology#P	r
Mooresburg%2C_Pennsylvania	http://www.geonames.org/ontology#featureCode	http://www.geonames.org/ontology#P.PPL	r
Ivan_Vazov_National_Theatre	http://www.georss.org/georss/point	42.6938888889 23.3263888889	l
Ivan_Vazov_National_Theatre	http://www.w3.org/2003/01/geo/wgs84_pos#lat	42.6938888889	l
Ivan_Vazov_National_Theatre	http://www.w3.org/2003/01/geo/wgs84_pos#long	23.3263888889	l
